amount,pickup_time,startX,startY,endX,endY 
1,2013-11-18 16:00:00,-74.005366,-40.740945,-74.0142972,-40.7153499
1,2013-11-18 16:00:00,-73.9967873,-40.7527219,-74.004031,-40.725513
1,2013-11-18 16:00:00,-73.9829418,-40.7717239,-73.8612717,-40.7680118
1,2013-11-18 16:00:00,-73.981848,-40.766287,-73.9685157,-40.764823
2,2013-11-18 16:00:00,-73.987298,-40.744682,-73.7770685,-40.6467428
6,2013-11-18 16:00:00,-73.9741902,-40.7539937,-73.970341,-40.752379
1,2013-11-18 16:00:00,-73.9560335,-40.7846666,-73.9760046,-40.7914402
3,2013-11-18 16:00:00,-73.9709542,-40.7642198,-73.9708877,-40.7984506
1,2013-11-18 16:00:00,-73.9712227,-40.7877937,-73.972553,-40.764898
1,2013-11-18 16:00:00,-74.001403,-40.722556,-74.009239,-40.71552
5,2013-11-18 16:00:00,-73.9724164,-40.794038,-73.9841758,-40.7672731
2,2013-11-18 16:00:00,-73.974935,-40.7501,-73.992805,-40.742901
1,2013-11-18 16:00:00,-73.9937222,-40.7671047,-73.9703286,-40.7839788
2,2013-11-18 16:00:00,-73.982211,-40.740115,-73.9546771,-40.7655778
1,2013-11-18 16:00:00,-73.9847413,-40.7641596,-73.98021,-40.780561
1,2013-11-18 16:00:00,-73.9819972,-40.7676883,-73.9752226,-40.7552254
1,2013-11-18 16:00:00,-73.990968,-40.745421,-73.9831666,-40.7561419
5,2013-11-18 16:00:00,-73.977196,-40.764324,-73.981668,-40.7794945
5,2013-11-18 16:00:00,-73.9527214,-40.7723305,-73.973465,-40.763659
1,2013-11-18 16:00:00,-73.9719073,-40.7571246,-73.9484255,-40.7781772
5,2013-11-18 16:00:00,-73.967152,-40.756766,-73.995446,-40.739272
1,2013-11-18 16:00:00,-73.9785141,-40.7368726,-73.983627,-40.743945
1,2013-11-18 16:00:00,-73.984078,-40.743326,-73.986399,-40.7517
1,2013-11-18 16:00:00,-74.004168,-40.74769,-73.992654,-40.73733
6,2013-11-18 16:00:00,-73.9699167,-40.752956,-73.9564983,-40.7671158
1,2013-11-18 16:00:00,-73.990276,-40.756567,-73.990518,-40.746038
1,2013-11-18 16:00:00,-73.991798,-40.738504,-73.971263,-40.751122
1,2013-11-18 16:00:01,-74.00646,-40.738754,-73.8646953,-40.7685238
1,2013-11-18 16:00:01,-73.9836282,-40.7620648,-73.9939499,-40.7515228
1,2013-11-18 16:00:02,-74.0016771,-40.7556376,-74.000371,-40.682133
1,2013-11-18 16:00:02,-73.7808766,-40.645095,-73.851496,-40.736619
2,2013-11-18 16:00:02,-74.004031,-40.725513,-74.009239,-40.71552
2,2013-11-18 16:00:02,-73.993292,-40.742233,-73.976744,-40.759165
1,2013-11-18 16:00:02,-73.9684641,-40.7990578,-73.9786487,-40.7858192
1,2013-11-18 16:00:03,-73.9939499,-40.7515228,-73.9805314,-40.7648393
1,2013-11-18 16:00:03,-73.998585,-40.724632,-73.8713344,-40.7738377
2,2013-11-18 16:00:03,-73.8624542,-40.7686613,-73.9742957,-40.7564963
1,2013-11-18 16:00:03,-73.9893736,-40.7405905,-73.99251,-40.724192
1,2013-11-18 16:00:04,-73.9788008,-40.7774028,-73.9583191,-40.7815366
1,2013-11-18 16:00:04,-73.985552,-40.7579667,-73.985307,-40.727599
1,2013-11-18 16:00:05,-73.9760403,-40.7514368,-73.9722156,-40.7498059
1,2013-11-18 16:00:05,-73.9907524,-40.734816,-74.0025415,-40.7551291
1,2013-11-18 16:00:05,-73.9739803,-40.7462252,-73.9784259,-40.7246974
1,2013-11-18 16:00:05,-73.9675289,-40.7928581,-73.9797549,-40.7811846
1,2013-11-18 16:00:06,-73.9635486,-40.7743723,-73.952984,-40.791722
1,2013-11-18 16:00:07,-73.967727,-40.762851,-73.978728,-40.772417
1,2013-11-18 16:00:07,-73.9583242,-40.7646126,-73.975102,-40.752741
2,2013-11-18 16:00:07,-73.9448126,-40.7791055,-73.9629223,-40.7583127
1,2013-11-18 16:00:08,-73.9633881,-40.7659323,-73.9527041,-40.7765623
1,2013-11-18 16:00:08,-73.951248,-40.778551,-73.9550881,-40.7733306
3,2013-11-18 16:00:08,-73.9996344,-40.7539186,-73.985307,-40.727599
1,2013-11-18 16:00:08,-73.983536,-40.7300191,-74.008554,-40.733401
1,2013-11-18 16:00:09,-73.9765352,-40.7507747,-73.989992,-40.683319
1,2013-11-18 16:00:09,-73.9939499,-40.7515228,-73.9876368,-40.7514288
2,2013-11-18 16:00:10,-73.9611049,-40.7690611,-73.973597,-40.7845384
1,2013-11-18 16:00:10,-73.992079,-40.754091,-73.9823814,-40.7673981
1,2013-11-18 16:00:10,-73.846055,-40.737099,-73.8403219,-40.7288128
1,2013-11-18 16:00:11,-73.983536,-40.7300191,-73.9758,-40.740644
1,2013-11-18 16:00:12,-73.870419,-40.7735296,-73.922663,-40.763966
1,2013-11-18 16:00:12,-73.938333,-40.75182,-73.938333,-40.75182
1,2013-11-18 16:00:12,-74.004861,-40.741642,-73.9783444,-40.7482941
1,2013-11-18 16:00:12,-73.9542477,-40.7661654,-73.9700795,-40.7596271
1,2013-11-18 16:00:12,-73.9850867,-40.7585867,-73.991419,-40.744802
1,2013-11-18 16:00:12,-73.973465,-40.763659,-73.9962976,-40.7533937
1,2013-11-18 16:00:12,-73.9671479,-40.7667029,-73.9544814,-40.778137
1,2013-11-18 16:00:14,-73.990276,-40.756567,-73.9485506,-40.7739762
1,2013-11-18 16:00:15,-74.013114,-40.703588,-73.9638711,-40.7570079
2,2013-11-18 16:00:15,-73.9728492,-40.7933947,-73.7891592,-40.6425836
1,2013-11-18 16:00:15,-73.9818786,-40.7782506,-73.9639283,-40.8080126
1,2013-11-18 16:00:17,-73.992805,-40.742901,-74.003512,-40.720557
1,2013-11-18 16:00:17,-73.8739364,-40.7737968,-73.9766802,-40.7650275
2,2013-11-18 16:00:17,-73.973968,-40.762967,-74.0152242,-40.7098264
1,2013-11-18 16:00:17,-73.9545364,-40.7840339,-73.966794,-40.8042094
1,2013-11-18 16:00:17,-73.9906194,-40.7509969,-74.0052202,-40.7230023
1,2013-11-18 16:00:18,-73.976251,-40.740026,-73.9868238,-40.751088
