licence,capacity,start_time,startX,startY 
2013006443,4,2013-11-18 15:00:00,-73.7947703,-40.6447114
2013012509,6,2013-11-18 15:00:00,-74.005057,-40.708789
2013007293,6,2013-11-18 15:00:00,-73.9872889,-40.750458
2013009039,4,2013-11-18 15:00:00,-73.99111,-40.750319
2013011928,2,2013-11-18 15:00:00,-73.991633,-40.754707
2013011941,4,2013-11-18 15:00:00,-73.9656637,-40.7903601
2013011760,2,2013-11-18 15:00:00,-73.9914166,-40.7298896
2013011679,2,2013-11-18 15:00:00,-73.9611049,-40.7690611
2013003816,3,2013-11-18 15:00:00,-73.7808766,-40.645095
2013000896,6,2013-11-18 15:00:00,-73.9885656,-40.7691032
2013005688,2,2013-11-18 15:00:00,-73.8739364,-40.7737968
2013007763,6,2013-11-18 15:00:00,-73.9613747,-40.7802227
2013006047,4,2013-11-18 15:00:00,-73.9936184,-40.7359997
2013000913,1,2013-11-18 15:00:00,-73.9799722,-40.7605248
2013003374,6,2013-11-18 15:00:00,-73.987491,-40.752159
2013001213,5,2013-11-18 15:00:01,-73.9746829,-40.7591101
2013001316,5,2013-11-18 15:00:01,-73.986597,-40.742772
2013004332,4,2013-11-18 15:00:02,-73.8625558,-40.7688802
2013005924,4,2013-11-18 15:00:02,-73.9895128,-40.7678054
2013004952,4,2013-11-18 15:00:02,-74.00596,-40.745231
2013011862,1,2013-11-18 15:00:03,-73.9885986,-40.7228523
2013010550,4,2013-11-18 15:00:03,-74.007097,-40.715998
2013004650,4,2013-11-18 15:00:03,-73.9746829,-40.7591101
2013012904,4,2013-11-18 15:00:03,-73.7909997,-40.6455917
2013010611,4,2013-11-18 15:00:03,-74.0119281,-40.7028291
2013008473,5,2013-11-18 15:00:03,-73.9565451,-40.7781812
2013012974,4,2013-11-18 15:00:03,-73.9810182,-40.7676993
2013001639,4,2013-11-18 15:00:04,-73.9656637,-40.7903601
2013001000,2,2013-11-18 15:00:04,-73.983148,-40.7388264
2013012823,4,2013-11-18 15:00:04,-73.95382,-40.7845639
2013005622,5,2013-11-18 15:00:04,-73.9852319,-40.7685835
2013002664,4,2013-11-18 15:00:04,-73.973571,-40.779478
2013001221,4,2013-11-18 15:00:04,-73.9811168,-40.7742266
2013001593,3,2013-11-18 15:00:04,-73.9799375,-40.7547823
2013007080,4,2013-11-18 15:00:05,-73.9751347,-40.7584861
2013005380,4,2013-11-18 15:00:05,-73.99251,-40.724192
2013012960,5,2013-11-18 15:00:05,-73.9712566,-40.7827173
2013007247,4,2013-11-18 15:00:06,-73.984118,-40.754842
2013012888,2,2013-11-18 15:00:06,-73.981372,-40.752814
2013008371,4,2013-11-18 15:00:06,-74.001884,-40.719398
2013009904,5,2013-11-18 15:00:06,-73.8644922,-40.7698986
