day,date,amount of pick_ups,amount of analytics.taxi's
Friday,2013-01-25 03:00:00,4814,2749
Friday,2013-01-25 04:00:00,3911,2363
Friday,2013-01-25 05:00:00,4770,2877
Friday,2013-01-25 06:00:00,12291,5390
Friday,2013-01-25 07:00:00,24592,8309
Friday,2013-01-25 08:00:00,30745,9622
Friday,2013-01-25 09:00:00,28968,10173
Friday,2013-01-25 10:00:00,25113,10072
Friday,2013-01-25 11:00:00,24618,9852
Friday,2013-01-25 12:00:00,25886,9082
Friday,2013-01-25 13:00:00,25426,9249
Friday,2013-01-25 14:00:00,27629,9856
Friday,2013-01-25 15:00:00,25791,9521
Friday,2013-01-25 16:00:00,21800,8637
Friday,2013-01-25 17:00:00,23959,9205
Friday,2013-01-25 18:00:00,27368,10196
Friday,2013-01-25 19:00:00,29543,10588
Friday,2013-01-25 20:00:00,29584,10673
Friday,2013-01-25 21:00:00,29539,10497
Friday,2013-01-25 22:00:00,30580,10395
Friday,2013-01-25 23:00:00,30718,10224
Saturday,2013-01-26 00:00:00,27619,9865
Saturday,2013-01-26 01:00:00,22962,8996
Saturday,2013-01-26 02:00:00,18835,7873
Saturday,2013-01-26 03:00:00,13999,6304
Saturday,2013-01-26 04:00:00,8695,4401
Saturday,2013-01-26 05:00:00,4239,2570
Saturday,2013-01-26 06:00:00,4705,2748
Saturday,2013-01-26 07:00:00,7632,3856
Saturday,2013-01-26 08:00:00,12444,5313
Saturday,2013-01-26 09:00:00,17744,6578
Saturday,2013-01-26 10:00:00,21384,7626
Saturday,2013-01-26 11:00:00,24850,8473
Saturday,2013-01-26 12:00:00,26782,8648
Saturday,2013-01-26 13:00:00,27585,9208
Saturday,2013-01-26 14:00:00,25833,9276
Saturday,2013-01-26 15:00:00,26556,9106
Saturday,2013-01-26 16:00:00,23982,8365
Saturday,2013-01-26 17:00:00,26212,8424
Saturday,2013-01-26 18:00:00,33204,9696
Saturday,2013-01-26 19:00:00,34721,10373
Saturday,2013-01-26 20:00:00,32700,10649
Saturday,2013-01-26 21:00:00,31940,10611
Saturday,2013-01-26 22:00:00,34745,10727
Saturday,2013-01-26 23:00:00,35241,10688
Sunday,2013-01-27 00:00:00,32758,10461
Sunday,2013-01-27 01:00:00,29351,9976
Sunday,2013-01-27 02:00:00,25211,9198
Sunday,2013-01-27 03:00:00,19491,7860
Sunday,2013-01-27 04:00:00,11976,5724
Sunday,2013-01-27 05:00:00,5111,3022
Sunday,2013-01-27 06:00:00,4595,2771
Sunday,2013-01-27 07:00:00,6728,3543
Sunday,2013-01-27 08:00:00,9756,4514
Sunday,2013-01-27 09:00:00,13915,5700
Sunday,2013-01-27 10:00:00,19580,6994
Sunday,2013-01-27 11:00:00,22955,7783
Sunday,2013-01-27 12:00:00,25539,8220
Sunday,2013-01-27 13:00:00,25246,8599
Sunday,2013-01-27 14:00:00,24950,8905
Sunday,2013-01-27 15:00:00,23833,8796
Sunday,2013-01-27 16:00:00,21463,8157
Sunday,2013-01-27 17:00:00,22398,7983
Sunday,2013-01-27 18:00:00,25244,8697
Sunday,2013-01-27 19:00:00,22243,8570
Sunday,2013-01-27 20:00:00,19426,8105
Sunday,2013-01-27 21:00:00,19034,7563
Sunday,2013-01-27 22:00:00,16348,7025
Sunday,2013-01-27 23:00:00,12405,6026
Monday,2013-01-28 00:00:00,7965,4392
Monday,2013-01-28 01:00:00,4590,2761
Monday,2013-01-28 02:00:00,3088,1882
Monday,2013-01-28 03:00:00,2207,1416
Monday,2013-01-28 04:00:00,2588,1604
Monday,2013-01-28 05:00:00,4381,2680
Monday,2013-01-28 06:00:00,11898,5142
Monday,2013-01-28 07:00:00,22215,7644
Monday,2013-01-28 08:00:00,27307,8884
Monday,2013-01-28 09:00:00,26284,9447
Monday,2013-01-28 10:00:00,22073,9337
Monday,2013-01-28 11:00:00,20352,9037
Monday,2013-01-28 12:00:00,23276,9121
Monday,2013-01-28 13:00:00,21664,9175
Monday,2013-01-28 14:00:00,24522,9407
Monday,2013-01-28 15:00:00,25434,9252
Monday,2013-01-28 16:00:00,20581,8448
Monday,2013-01-28 17:00:00,24214,9185
Monday,2013-01-28 18:00:00,30348,10211
Monday,2013-01-28 19:00:00,29554,10100
Monday,2013-01-28 20:00:00,25980,9659
Monday,2013-01-28 21:00:00,23851,9065
Monday,2013-01-28 22:00:00,21023,8491
Monday,2013-01-28 23:00:00,14668,7230
Tuesday,2013-01-29 00:00:00,8696,4965
Tuesday,2013-01-29 01:00:00,5299,3184
Tuesday,2013-01-29 02:00:00,3343,2045
Tuesday,2013-01-29 03:00:00,2107,1406
Tuesday,2013-01-29 04:00:00,2089,1420
Tuesday,2013-01-29 05:00:00,3912,2519
Tuesday,2013-01-29 06:00:00,11900,5360
Tuesday,2013-01-29 07:00:00,22936,8143
Tuesday,2013-01-29 08:00:00,28332,9439
Tuesday,2013-01-29 09:00:00,26329,9972
Tuesday,2013-01-29 10:00:00,22104,9697
Tuesday,2013-01-29 11:00:00,21244,9441
Tuesday,2013-01-29 12:00:00,22322,9445
Tuesday,2013-01-29 13:00:00,22418,9574
Tuesday,2013-01-29 14:00:00,24158,9668
Tuesday,2013-01-29 15:00:00,23764,9226
Tuesday,2013-01-29 16:00:00,19707,8159
Tuesday,2013-01-29 17:00:00,25154,8957
Tuesday,2013-01-29 18:00:00,33206,10069
Tuesday,2013-01-29 19:00:00,32867,10648
Tuesday,2013-01-29 20:00:00,30029,10500
Tuesday,2013-01-29 21:00:00,29035,10164
Tuesday,2013-01-29 22:00:00,25720,9669
Tuesday,2013-01-29 23:00:00,19192,8745
Wednesday,2013-01-30 00:00:00,11678,6406
Wednesday,2013-01-30 01:00:00,6851,4002
Wednesday,2013-01-30 02:00:00,4261,2587
Wednesday,2013-01-30 03:00:00,2782,1793
Wednesday,2013-01-30 04:00:00,2624,1697
Wednesday,2013-01-30 05:00:00,3910,2454
Wednesday,2013-01-30 06:00:00,11851,5324
Wednesday,2013-01-30 07:00:00,23859,8337
Wednesday,2013-01-30 08:00:00,28792,9437
Wednesday,2013-01-30 09:00:00,26860,9796
Wednesday,2013-01-30 10:00:00,22531,9524
Wednesday,2013-01-30 11:00:00,21774,9567
Wednesday,2013-01-30 12:00:00,22689,9500
Wednesday,2013-01-30 13:00:00,22174,9527
Wednesday,2013-01-30 14:00:00,23980,9497
Wednesday,2013-01-30 15:00:00,23359,9156
Wednesday,2013-01-30 16:00:00,18745,7957
Wednesday,2013-01-30 17:00:00,23640,8852
Wednesday,2013-01-30 18:00:00,30693,10184
Wednesday,2013-01-30 19:00:00,31809,10667
Wednesday,2013-01-30 20:00:00,29028,10467
Wednesday,2013-01-30 21:00:00,28159,10115
Wednesday,2013-01-30 22:00:00,27022,10025
Wednesday,2013-01-30 23:00:00,21270,9167
Thursday,2013-01-31 00:00:00,14744,7438
Thursday,2013-01-31 01:00:00,8814,4869
Thursday,2013-01-31 02:00:00,5591,3095
Thursday,2013-01-31 03:00:00,3627,2094
Thursday,2013-01-31 04:00:00,3036,1847
Thursday,2013-01-31 05:00:00,4459,2715
Thursday,2013-01-31 06:00:00,12788,5416
Thursday,2013-01-31 07:00:00,23493,7896
Thursday,2013-01-31 08:00:00,28183,9207
Thursday,2013-01-31 09:00:00,26766,9619
Thursday,2013-01-31 10:00:00,23224,9604
Thursday,2013-01-31 11:00:00,22471,9494
Thursday,2013-01-31 12:00:00,23727,9445
Thursday,2013-01-31 13:00:00,22986,9481
Thursday,2013-01-31 14:00:00,25170,9712
Thursday,2013-01-31 15:00:00,24862,9334
Thursday,2013-01-31 16:00:00,20586,8336
Thursday,2013-01-31 17:00:00,25517,8932
Thursday,2013-01-31 18:00:00,33203,10257
Thursday,2013-01-31 19:00:00,34990,10786
Thursday,2013-01-31 20:00:00,34770,11156
Thursday,2013-01-31 21:00:00,34097,10988
Thursday,2013-01-31 22:00:00,32455,10818
Thursday,2013-01-31 23:00:00,28692,10464
